customer_id,cluster,recency_days,frequency_invoices,monetary,avg_order_value,avg_items_per_invoice,active_months,last_purchase
12346,2,235,12,77556.46,2281.0723529411766,2184.8529411764707,5,2011-01-18 10:01:00
12347,0,39,6,4114.18,21.098358974358977,12.4,6,2011-08-02 08:48:00
12348,2,158,4,1709.4,35.612500000000004,52.020833333333336,4,2011-04-05 10:47:00
12349,0,317,3,2671.14,26.18764705882353,9.735294117647058,3,2010-10-28 08:23:00
12350,1,219,1,334.4,19.670588235294115,11.588235294117649,1,2011-02-02 16:01:00
12351,1,284,1,300.93,14.33,12.428571428571429,1,2010-11-29 15:23:00
12352,0,171,7,1905.61,34.028749999999995,7.892857142857143,3,2011-03-22 16:08:00
12353,0,113,2,406.76,16.948333333333334,8.833333333333334,2,2011-05-19 17:47:00
12354,0,141,1,1079.4,18.610344827586207,9.137931034482758,1,2011-04-21 13:11:00
12355,0,123,2,947.61,27.074571428571428,15.514285714285714,2,2011-05-09 13:49:00
12356,0,155,5,6315.33,44.78957446808511,24.19858156028369,4,2011-04-08 12:33:00
12357,2,297,2,12079.99,73.2120606060606,23.509090909090908,1,2010-11-16 14:29:00
12358,0,60,4,3203.87,45.76957142857143,13.3,4,2011-07-12 10:04:00
12359,3,99,9,6059.09,23.304192307692308,8.057692307692308,7,2011-06-03 12:26:00
12360,0,22,7,3209.11,19.687791411042944,12.07361963190184,6,2011-08-19 10:10:00
12361,0,196,4,511.25,17.629310344827587,8.10344827586207,4,2011-02-25 13:51:00
12362,0,29,5,1877.35,17.710849056603774,9.330188679245284,5,2011-08-11 15:02:00
12363,0,19,2,552.0,24.0,17.73913043478261,2,2011-08-22 10:18:00
12364,0,21,1,623.92,18.350588235294115,16.323529411764707,1,2011-08-19 15:24:00
12365,0,200,2,641.38,29.15363636363636,7.909090909090909,1,2011-02-21 14:04:00
12366,2,543,1,500.24,166.74666666666667,98.66666666666669,1,2010-03-16 10:28:00
12368,1,537,1,917.7,50.98333333333333,18.33333333333333,1,2010-03-21 15:56:00
12369,0,322,3,1791.15,19.25967741935484,13.344086021505376,3,2010-10-22 13:13:00
12370,0,184,6,3581.03,20.580632183908047,12.78735632183908,4,2011-03-10 12:48:00
12371,0,318,3,2179.42,20.95596153846154,8.125,2,2010-10-26 13:37:00
12372,0,122,2,914.92,23.45948717948718,15.17948717948718,2,2011-05-11 10:43:00
12373,0,220,3,1127.65,22.11078431372549,10.117647058823527,3,2011-02-01 13:10:00
12374,2,330,3,2246.29,44.9258,20.4,2,2010-10-14 13:31:00
12375,0,7,1,230.3,20.93636363636364,7.909090909090909,1,2011-09-02 14:23:00
12376,1,299,2,503.15,38.70384615384615,18.46153846153846,2,2010-11-15 12:15:00
12377,0,224,4,3426.32,22.54157894736842,13.848684210526317,4,2011-01-28 15:45:00
12378,0,39,2,5416.32,17.994418604651162,11.016611295681065,2,2011-08-02 10:34:00
12379,0,79,3,1227.82,20.128196721311475,10.147540983606556,3,2011-06-22 16:32:00
12380,0,95,8,7559.04,36.16765550239234,12.0622009569378,5,2011-06-07 09:49:00
12381,0,29,1,1268.74,20.463548387096772,9.161290322580646,1,2011-08-12 09:57:00
12383,0,94,5,1850.56,18.69252525252525,15.474747474747474,5,2011-06-08 08:02:00
12384,0,31,1,292.69,20.90642857142857,4.428571428571429,1,2011-08-10 11:23:00
12385,1,288,1,1938.4,29.821538461538463,9.415384615384616,1,2010-11-25 15:14:00
12386,2,247,2,660.8,36.71111111111111,31.55555555555556,2,2011-01-06 12:37:00
12387,1,324,1,143.94,15.993333333333332,14.88888888888889,1,2010-10-20 16:27:00
12388,0,57,6,2788.79,24.041293103448275,11.198275862068966,6,2011-07-14 13:28:00
12389,0,312,3,1433.33,29.251632653061225,12.53061224489796,3,2010-11-02 11:52:00
12391,0,374,5,2312.53,12.776408839779007,5.082872928176796,3,2010-09-01 12:38:00
12392,1,500,1,234.75000000000003,33.53571428571429,10.428571428571429,1,2010-04-27 14:04:00
12393,0,155,5,1877.95,22.901829268292683,12.402439024390244,4,2011-04-08 09:45:00
12394,1,126,1,381.08,18.146666666666665,8.666666666666666,1,2011-05-06 14:01:00
12395,3,21,11,3948.21,20.35159793814433,16.721649484536083,9,2011-08-19 15:18:00
12396,1,583,1,931.43,14.329692307692309,9.092307692307692,1,2010-02-03 13:22:00
12397,0,44,1,1214.81,17.35442857142857,10.057142857142855,1,2011-07-27 14:21:00
12399,0,28,7,1962.3,17.83909090909091,19.98181818181818,7,2011-08-12 13:15:00
12400,1,323,1,205.25,18.65909090909091,8.272727272727273,1,2010-10-21 13:45:00
12401,1,212,1,84.3,16.86,2.2,1,2011-02-09 13:50:00
12402,0,232,6,1256.9,17.955714285714286,8.342857142857143,6,2011-01-20 13:49:00
12403,2,431,1,591.6600000000001,147.91500000000002,41.0,1,2010-07-06 11:39:00
12404,1,591,1,63.24,63.24,1.0,1,2010-01-26 16:25:00
12405,0,58,1,1710.39,31.67388888888889,15.87037037037037,1,2011-07-14 08:52:00
12406,0,93,4,4596.31,41.784636363636366,21.73636363636364,4,2011-06-09 10:23:00
12407,0,43,4,1407.36,21.99,19.328125,3,2011-07-28 16:28:00
12408,0,8,7,3586.27,26.369632352941174,13.705882352941176,6,2011-09-02 10:27:00
12409,2,92,5,18553.7,84.72009132420092,49.013698630136986,5,2011-06-10 12:19:00
12410,0,218,3,1013.71,25.34275,8.525,2,2011-02-04 10:39:00
12411,1,319,1,346.9,15.768181818181818,6.2727272727272725,1,2010-10-26 09:25:00
12412,0,47,5,2260.79,20.367477477477475,15.91891891891892,5,2011-07-25 11:17:00
12413,0,145,3,805.25,19.640243902439025,5.804878048780488,3,2011-04-17 15:33:00
12414,0,126,6,952.41,34.01464285714285,17.678571428571427,4,2011-05-06 14:51:00
12415,3,8,22,121631.72,149.79275862068965,99.47536945812809,13,2011-09-01 13:51:00
12416,1,566,1,202.56,18.41454545454545,12.0,1,2010-02-21 10:19:00
12417,3,16,18,5984.33,18.356840490797545,7.874233128834356,14,2011-08-25 10:26:00
12418,0,22,4,2021.2,19.815686274509805,10.666666666666666,4,2011-08-19 11:08:00
12419,1,295,2,503.01,20.1204,9.24,2,2010-11-19 10:04:00
12421,0,24,5,920.12,16.430714285714284,10.267857142857142,5,2011-08-17 10:56:00
12422,3,5,17,5231.8,30.41744186046512,15.093023255813954,11,2011-09-05 09:48:00
12423,3,10,9,2413.75,16.30912162162162,10.743243243243244,9,2011-08-31 08:55:00
12424,0,72,4,3340.03,36.30467391304348,22.01086956521739,3,2011-06-30 12:06:00
12425,1,357,1,964.21,17.53109090909091,11.836363636363636,1,2010-09-17 14:10:00
12426,0,104,2,1345.21,17.470259740259742,7.584415584415584,2,2011-05-29 12:26:00
12427,1,281,1,607.0,30.35,7.9,1,2010-12-03 10:44:00
12428,0,29,8,7548.12,27.054193548387097,12.136200716845876,4,2011-08-11 12:58:00
12429,0,82,7,6580.39,45.07116438356165,19.3972602739726,5,2011-06-20 12:14:00
12431,3,28,23,9245.09,26.04250704225352,11.03943661971831,14,2011-08-12 14:19:00
12432,0,79,3,4016.66,52.85078947368421,18.776315789473685,1,2011-06-22 13:12:00
12433,0,0,6,13600.62,26.46035019455253,22.32684824902724,5,2011-09-09 13:44:00
12434,0,169,2,583.54,16.209444444444443,5.972222222222222,2,2011-03-24 13:05:00
12435,2,177,5,10075.03,106.05294736842106,39.810526315789474,5,2011-03-17 07:40:00
12436,0,9,1,509.01,31.813125,13.1875,1,2011-09-01 12:09:00
12437,3,7,32,10543.4,22.625321888412017,14.753218884120171,17,2011-09-02 13:15:00
